Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
"Principal Financial Group, Inc.",Financial,Insurance - Diversified,USA,S&P 500,10.00,4.48,0.50%,275.00M,0.58%,12.33B,7.74,14.72%,3.44%,273.08M,13.23%,1.25B,2.13,1.25,72.20%,1.37%,49.33%,17.07B,0.72,-7.30%,0.13%,2.07,-17.64%,46.94,0.95,0.50%,43.45,-25.50%,12.65,3.54,4.70%,8.90%,23.31 - 60.81,-18.60%,2.24,2.38,5.90%,7.80%,-26.38%,1.64,5.00%,-,9.00%,-,92.06%,1.49,17601,-,21.30%,8.80%,58.28,2.04% 3.26%,Yes,0.29,-31.90%,7.30%,0.71,45.02,Yes,0.28,Jul 27 AMC,48.80%,1.80M,44.77,2.80,5.87%,8.62%,-2.12%,"1,280,877",-0.56%,2020-07-25 16:25:46.619279
The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,DJIA S&P500,66.79,1.89,0.11%,2.48B,0.26%,309.67B,24.13,5.35%,-88.60%,2.47B,8.19%,4.73B,8.84,1.01,66.10%,0.60%,6.04%,70.35B,4.40,-60.60%,-0.04%,1.94,0.66%,18.03,6.99,4.10%,129.64,11.70%,6.26,20.12,7.55%,10.40%,94.34 - 128.09,0.85%,3.16,53.20,-15.80%,4.90%,-1.66%,0.41,2.51%,0.70,-1.90%,51.10%,33.52%,2.00,97000,0.80,4.60%,10.00%,69.15,1.44% 1.61%,Yes,0.81,7.30%,6.70%,0.78,126.16,Yes,0.52,Jul 30 BMO,147.00%,7.66M,125.96,2.20,2.78%,6.08%,5.03%,"5,972,504",-0.16%,2020-07-25 16:25:46.619279
The Progressive Corporation,Financial,Insurance - Property & Casualty,USA,S&P 500,11.79,7.45,0.20%,584.70M,0.26%,51.12B,15.99,-13.87%,-13.89%,583.32M,13.68%,4.38B,124.11,1.38,83.20%,1.05%,6.02%,40.54B,1.26,51.90%,-0.06%,1.96,14.48%,23.70,3.71,7.30%,89.07,11.55%,0.64,138.35,0.10%,29.50%,62.18 - 90.72,25.09%,0.40,12.01,25.50%,23.70%,-3.15%,0.52,0.46%,-,15.00%,-,41.30%,2.03,41571,-,0.30%,13.20%,65.39,1.83% 2.39%,Yes,0.39,-36.00%,9.70%,0.71,88.64,Yes,0.39,Jul 15 BMO,39.20%,3.12M,87.86,2.20,6.50%,10.21%,16.12%,"2,203,605",-0.88%,2020-07-25 16:25:46.619279
"Prologis, Inc.",Real Estate,REIT - Industrial,USA,S&P 500,37.82,2.64,0.52%,738.58M,4.79%,71.28B,55.75,-6.23%,-0.40%,736.12M,11.26%,1.73B,-,0.46,98.30%,0.83%,12.21%,3.54B,20.15,-13.70%,-0.10%,1.85,3.91%,46.10,2.17,3.90%,97.00,22.66%,1.13,88.23,-6.05%,6.90%,59.82 - 100.61,12.08%,2.32,82.43,15.20%,2.70%,-0.70%,0.93,2.32%,-,13.60%,72.70%,67.02%,2.60,1712,-,26.70%,28.90%,64.03,2.24% 2.49%,Yes,0.49,27.20%,48.30%,0.90,98.90,Yes,0.49,Jul 21 BMO,82.40%,3.32M,99.91,1.80,5.61%,7.61%,12.20%,"3,003,582",1.02%,2020-07-25 16:25:46.619279
"Prudential Financial, Inc.",Financial,Insurance - Life,USA,S&P 500,9.01,7.21,0.10%,397.00M,1.20%,25.68B,5.74,26.49%,-18.00%,394.22M,8.73%,2.94B,1.00,1.72,63.70%,2.88%,16.37%,63.45B,0.40,10.60%,-0.04%,3.45,-30.59%,152.26,0.43,0.30%,67.38,-36.65%,79.98,0.81,9.00%,4.70%,38.62 - 103.56,-30.76%,4.40,0.87,25.80%,4.90%,-37.32%,1.71,6.78%,-,3.80%,-,68.07%,2.18,51511,-,-11.10%,5.70%,56.10,2.36% 3.25%,Yes,0.40,-131.30%,4.60%,0.51,65.63,Yes,0.35,Aug 04 AMC,56.30%,3.29M,64.91,2.90,5.44%,5.28%,-13.82%,"1,673,043",-1.10%,2020-07-25 16:25:46.619279
Public Service Enterprise Group Incorporated,Utilities,Utilities - Diversified,USA,S&P 500,18.39,2.84,0.20%,505.62M,-5.10%,25.39B,15.35,1.61%,-1.43%,504.91M,8.53%,1.44B,7.51,0.61,71.10%,1.13%,1.75%,9.88B,2.57,17.70%,0.31%,2.13,-15.23%,30.26,1.73,3.00%,57.71,-12.37%,1.65,31.77,2.45%,9.60%,34.75 - 63.88,-11.48%,1.96,-,2.20%,5.40%,-18.17%,0.59,3.75%,0.60,-1.50%,-,50.42%,1.46,12992,0.70,-6.70%,19.80%,54.55,2.81% 2.67%,Yes,1.10,-36.00%,14.60%,0.63,52.71,Yes,0.92,Jul 31 BMO,66.50%,2.67M,52.27,2.30,2.45%,3.64%,-3.96%,"1,685,481",-0.83%,2020-07-25 16:25:46.619279
Public Storage,Real Estate,REIT - Industrial,USA,S&P 500,25.20,7.36,0.20%,174.45M,-3.61%,31.74B,26.16,0.10%,-1.96%,151.61M,-2.16%,1.28B,1.48,1.62,82.00%,2.60%,-1.00%,2.87B,11.04,-14.60%,-0.18%,4.04,-17.42%,28.36,6.54,11.20%,199.18,-23.44%,4.20,44.18,17.00%,25.70%,155.37 - 266.76,-12.96%,8.00,73.28,6.80%,21.20%,-30.51%,0.11,4.32%,-,5.50%,71.80%,19.30%,4.55,5900,-,3.90%,50.90%,39.10,2.18% 2.31%,Yes,0.49,3.60%,44.70%,0.53,187.02,Yes,0.49,Aug 05 AMC,108.60%,974.59K,185.36,2.90,-3.61%,-4.31%,-10.67%,"518,723",-0.89%,2020-07-25 16:25:46.619279
"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,USA,S&P 500,11.13,3.83,0.50%,270.00M,14.26%,11.26B,12.49,5.24%,-4.13%,259.05M,25.95%,1.04B,5.56,0.87,90.50%,1.88%,66.22%,10.51B,1.07,3.00%,-0.78%,1.22,-2.49%,20.48,2.08,-,36.42,33.77%,6.88,6.20,2.00%,-,17.12 - 47.37,9.85%,0.48,-,23.70%,11.90%,-10.03%,1.35,1.13%,-,11.90%,23.60%,148.95%,1.72,5245,-,14.90%,-,73.36,4.94% 4.29%,Yes,0.67,25.40%,-,1.31,41.29,Yes,0.62,Jul 23 BMO,-,3.99M,42.62,2.60,20.79%,23.70%,18.98%,"5,223,488",3.22%,2020-07-25 16:25:46.619279
PVH Corp.,Consumer Cyclical,Apparel Manufacturing,USA,S&P 500,-,-10.89,1.30%,71.40M,1.73%,3.70B,8.55,317.20%,0.00%,70.36M,5.21%,-761.50M,-,-2.51,-,7.08%,21.08%,8.90B,0.42,-40.10%,0.23%,2.51,-47.26%,63.21,0.79,-5.70%,59.16,-43.97%,10.82,4.63,-4.73%,-13.70%,28.40 - 108.06,-52.37%,-,6.00,1.20%,6.20%,-53.66%,2.07,-,0.70,3.80%,53.50%,76.34%,2.80,21500,1.40,-43.00%,-8.90%,52.64,4.37% 5.68%,Yes,0.71,-,-8.60%,0.40,50.90,Yes,0.63,Jun 11 AMC,-,1.98M,50.08,2.30,5.95%,2.54%,-29.06%,"787,109",-1.61%,2020-07-25 16:25:46.619279
"Qorvo, Inc.",Technology,Semiconductors,USA,S&P 500,39.82,2.81,0.50%,115.72M,-1.81%,12.55B,15.84,26.72%,-22.85%,113.84M,3.13%,334.30M,4.39,1.13,92.80%,1.97%,24.51%,3.24B,3.87,103.80%,0.31%,1.57,-1.30%,37.10,3.02,5.40%,120.68,49.77%,-,-,9.07%,7.80%,67.54 - 122.37,-3.71%,-,16.06,-2.50%,4.60%,-8.54%,1.42,-,2.20,13.60%,41.90%,65.71%,3.49,7900,3.10,15.70%,10.30%,49.12,3.30% 2.87%,Yes,0.37,-14.70%,10.30%,1.77,118.15,Yes,0.37,Jul 29 AMC,0.00%,1.43M,111.92,2.30,-0.49%,2.36%,11.46%,"2,524,848",-5.27%,2020-07-25 16:25:46.619279
"Quanta Services, Inc.",Industrials,Engineering & Construction,USA,S&P 500,18.78,2.17,1.40%,144.45M,0.35%,5.53B,10.52,22.03%,-0.64%,135.77M,7.17%,320.20M,2.15,0.47,98.50%,3.94%,19.72%,12.07B,0.46,46.40%,0.12%,3.92,0.77%,26.24,1.55,3.80%,45.07,8.08%,2.78,14.66,8.75%,8.30%,23.77 - 44.09,-0.07%,0.20,10.04,17.30%,7.20%,-7.73%,1.14,0.49%,1.80,9.30%,13.00%,71.14%,1.11,9800,1.80,-1.50%,4.30%,59.27,1.78% 2.68%,Yes,0.44,-68.00%,2.70%,0.44,41.12,Yes,0.42,May 07 BMO,7.70%,1.37M,40.68,1.60,4.31%,7.23%,7.02%,"607,195",-1.07%,2020-07-25 16:25:46.619279
QUALCOMM Incorporated,Technology,Semiconductors,USA,S&P 500,26.38,3.37,0.12%,1.14B,-3.62%,98.88B,15.07,60.01%,-18.27%,1.12B,-0.28%,4.05B,0.96,0.71,77.50%,1.43%,16.90%,20.04B,4.93,216.30%,-0.05%,1.76,-0.85%,2.67,33.29,12.30%,93.36,17.97%,8.94,9.94,27.42%,90.30%,58.00 - 96.17,0.75%,2.60,23.27,-4.00%,21.30%,-7.57%,1.35,2.92%,1.40,-5.90%,57.40%,53.26%,2.25,37000,1.60,4.70%,37.70%,47.11,2.70% 2.39%,Yes,5.24,-25.40%,20.20%,1.04,89.67,Yes,4.42,Jul 29 AMC,73.70%,9.14M,88.89,2.20,-2.89%,2.11%,7.20%,"9,497,686",-0.87%,2020-07-25 16:25:46.619279
Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,USA,S&P 500,22.07,5.66,0.50%,134.00M,-0.10%,16.52B,15.59,1.74%,-34.25%,133.06M,19.55%,771.00M,2.79,1.41,92.80%,2.47%,17.23%,7.66B,2.16,18.70%,-0.76%,1.99,15.96%,42.22,2.96,6.50%,126.43,22.28%,2.59,48.31,7.92%,14.10%,73.02 - 131.81,17.04%,2.24,33.45,10.20%,9.40%,-5.17%,1.37,1.79%,1.30,0.80%,34.30%,71.17%,3.48,47000,1.40,-3.60%,15.10%,60.49,2.55% 2.70%,Yes,0.71,-38.80%,10.30%,0.72,127.60,Yes,0.71,Jul 23 BMO,35.80%,1.65M,124.99,2.30,4.81%,8.03%,17.96%,"1,192,884",-2.05%,2020-07-25 16:25:46.619279
Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,USA,S&P 500,22.81,3.13,2.50%,73.70M,-2.54%,5.28B,11.14,182.88%,0.00%,47.04M,1.13%,259.00M,13.83,-1.67,-,11.50%,4.61%,6.16B,0.86,-40.20%,0.09%,4.14,-38.53%,36.54,1.96,5.20%,91.29,-35.19%,28.62,2.50,1.65%,13.10%,59.82 - 128.29,-39.05%,-,18.84,-15.70%,6.10%,-44.31%,1.30,-,1.30,-4.20%,59.30%,19.44%,2.94,13700,1.60,-15.40%,5.10%,46.81,3.14% 4.12%,Yes,0.51,-785.40%,6.20%,0.50,71.65,Yes,0.22,Aug 04 BMO,54.10%,1.31M,71.45,2.50,0.75%,-3.37%,-23.03%,"651,480",-0.28%,2020-07-25 16:25:46.619279
"Raymond James Financial, Inc.",Financial,Capital Markets,USA,S&P 500,10.69,6.75,0.40%,138.40M,1.79%,10.15B,13.26,6.56%,-5.85%,121.79M,5.42%,958.00M,-,0.97,75.60%,4.04%,17.17%,8.26B,1.23,11.00%,-,5.05,-20.24%,49.12,1.47,2.30%,73.25,-13.13%,75.67,0.95,-6.68%,14.30%,54.21 - 102.45,-19.38%,1.48,3.22,16.60%,3.30%,-29.60%,1.38,2.05%,-,10.10%,94.90%,33.04%,2.41,14200,-,9.20%,15.80%,53.66,2.35% 3.26%,Yes,4.88,-34.00%,11.60%,0.61,72.24,Yes,0.43,Jul 22 AMC,20.20%,973.88K,72.12,2.80,3.85%,2.50%,-8.52%,"594,694",-0.17%,2020-07-25 16:25:46.619279
Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,DJIA S&P500,13.07,4.75,0.10%,858.40M,-0.21%,94.37B,16.30,29.14%,0.00%,805.83M,0.57%,4.11B,-,0.13,47.50%,1.69%,-2.14%,76.89B,1.23,-13.70%,1.63%,1.21,-31.30%,45.91,1.35,2.90%,76.25,-22.82%,5.26,11.80,-13.65%,10.10%,40.71 - 93.45,-29.73%,1.90,28.67,-0.70%,7.80%,-33.58%,1.39,3.06%,0.90,5.90%,26.40%,52.47%,2.02,243200,1.20,-0.80%,10.50%,48.16,2.60% 2.86%,Yes,1.18,-106.20%,5.30%,0.53,63.12,Yes,1.10,Jul 28 BMO,61.20%,11.31M,62.07,2.00,1.03%,-1.37%,-16.56%,"6,028,514",-1.66%,2020-07-25 16:25:46.619279
Realty Income Corporation,Real Estate,REIT - Retail,USA,S&P 500,39.60,1.45,0.20%,343.42M,-2.00%,19.41B,33.17,0.64%,0.00%,342.67M,-3.43%,472.40M,7.27,0.42,75.80%,3.45%,15.02%,1.55B,12.51,10.10%,0.14%,3.86,-25.55%,30.86,1.86,2.70%,64.06,-16.64%,0.12,464.26,5.45%,4.90%,38.00 - 84.92,-22.02%,2.80,89.64,6.10%,2.30%,-32.38%,0.64,4.88%,-,9.80%,94.00%,51.11%,1.71,194,-,16.90%,27.00%,47.02,2.67% 2.72%,Yes,0.73,19.30%,30.40%,0.45,57.35,Yes,0.73,Aug 03 AMC,188.20%,3.06M,57.42,2.30,-1.90%,-1.13%,-14.19%,"1,383,106",0.12%,2020-07-25 16:25:46.619279
Regency Centers Corporation,Real Estate,REIT - Retail,USA,S&P 500,54.22,0.74,1.20%,167.91M,-4.17%,6.84B,29.32,37.40%,-2.33%,167.85M,-9.92%,123.70M,5.96,0.27,-,2.22%,12.79%,1.13B,6.05,-2.60%,0.19%,2.63,-37.35%,36.92,1.08,1.10%,51.07,-39.56%,4.28,9.33,9.10%,2.00%,31.80 - 70.13,-36.66%,2.38,32.98,-4.50%,3.00%,-43.02%,0.92,5.96%,-,16.10%,72.60%,25.66%,1.69,450,-,-0.90%,17.00%,36.62,3.29% 3.63%,Yes,0.71,-128.00%,10.90%,0.78,40.43,Yes,0.71,Aug 03 AMC,318.30%,1.41M,39.96,2.10,-7.79%,-9.97%,-25.81%,"1,099,215",-1.16%,2020-07-25 16:25:46.619279
"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,S&P 500,30.59,19.90,1.10%,109.80M,-5.45%,61.20B,18.86,19.98%,-42.96%,87.31M,0.64%,2.28B,3.63,6.00,77.10%,2.43%,7.55%,7.98B,7.67,-10.80%,0.23%,1.61,76.36%,110.50,5.51,15.80%,633.21,100.69%,39.83,15.29,8.44%,21.00%,271.37 - 664.64,62.18%,-,35.88,44.00%,16.10%,-8.38%,0.56,-,3.70,22.80%,89.70%,124.39%,21.39,8100,4.20,33.20%,30.50%,46.70,3.01% 3.13%,Yes,0.06,35.90%,28.60%,0.91,630.31,Yes,0.06,Aug 05 BMO,0.00%,1.32M,608.94,2.10,-3.33%,0.35%,32.96%,"1,205,677",-3.39%,2020-07-25 16:25:46.619279
Regions Financial Corporation,Financial,Banks - Regional,USA,S&P 500,8.52,1.28,0.20%,957.00M,5.81%,10.97B,8.62,92.26%,0.75%,955.64M,-3.19%,1.26B,-,0.25,76.30%,2.89%,11.54%,4.54B,2.42,13.00%,0.00%,2.39,-30.53%,16.74,0.65,1.20%,12.69,-30.53%,7.14,1.53,-,9.80%,6.94 - 17.54,-36.36%,0.62,6.01,14.00%,14.70%,-37.74%,1.68,5.68%,-,5.30%,-,57.35%,0.50,19564,-,-7.90%,74.70%,49.96,3.41% 4.45%,Yes,0.34,-60.70%,33.10%,0.54,11.04,Yes,0.34,Jul 17 BMO,38.10%,11.56M,10.92,2.30,2.77%,-2.00%,-18.64%,"6,247,139",-1.09%,2020-07-25 16:25:46.619279
"Republic Services, Inc.",Industrials,Waste Management,USA,S&P 500,25.16,3.38,0.20%,319.60M,-2.24%,26.33B,25.74,16.80%,-6.36%,317.18M,7.12%,1.09B,4.43,0.57,93.90%,0.79%,11.73%,10.38B,2.54,5.50%,0.13%,1.97,-10.15%,25.40,3.35,4.80%,88.25,-2.37%,0.99,85.86,5.68%,13.50%,65.37 - 100.91,-5.13%,1.62,42.88,16.90%,9.30%,-15.74%,0.62,1.91%,0.90,3.20%,39.60%,30.07%,1.65,36000,0.90,3.40%,17.30%,56.90,1.84% 1.81%,Yes,1.11,6.30%,10.50%,0.64,85.85,Yes,1.10,Aug 06 AMC,46.10%,1.28M,85.03,2.10,2.86%,2.43%,-1.03%,"819,186",-0.96%,2020-07-25 16:25:46.619279
ResMed Inc.,Healthcare,Medical Instruments & Supplies,USA,S&P 500,57.19,3.54,0.50%,144.64M,1.73%,28.82B,43.89,2.79%,-11.21%,143.53M,11.32%,514.80M,2.71,1.06,70.00%,1.50%,25.74%,2.89B,9.97,-9.60%,0.19%,3.21,24.66%,15.60,12.98,12.00%,174.20,63.47%,2.48,81.66,21.10%,23.60%,108.85 - 208.99,30.63%,1.56,98.53,3.50%,13.70%,-3.14%,0.50,0.77%,2.00,10.90%,58.80%,85.98%,4.82,7240,2.70,16.20%,24.50%,70.14,2.04% 2.43%,Yes,0.61,53.30%,17.70%,0.54,204.06,Yes,0.60,Aug 05 AMC,43.30%,670.72K,202.44,2.60,4.04%,14.52%,26.97%,"358,895",-0.79%,2020-07-25 16:25:46.619279
Robert Half International Inc.,Industrials,Staffing & Employment Services,USA,S&P 500,14.01,3.76,2.50%,113.19M,-2.64%,6.10B,17.34,26.81%,0.00%,111.07M,6.59%,434.60M,5.19,0.37,94.80%,9.07%,19.68%,6.11B,1.00,8.10%,0.03%,7.65,-14.88%,9.98,5.28,19.00%,46.27,-13.22%,2.16,24.41,2.70%,38.70%,32.38 - 63.97,-16.50%,1.36,19.79,11.60%,39.30%,-17.57%,1.59,2.58%,1.80,5.30%,41.40%,62.85%,1.60,16000,1.80,2.60%,9.90%,51.50,2.91% 2.86%,Yes,0.00,-15.20%,7.10%,0.97,53.85,Yes,0.00,Jul 23 AMC,33.50%,1.32M,52.73,3.00,1.13%,2.05%,-0.80%,"1,278,822",-2.08%,2020-07-25 16:25:46.619279
"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,USA,S&P 500,37.28,6.07,0.20%,116.00M,0.40%,25.97B,29.18,5.73%,-23.43%,115.08M,10.32%,711.80M,21.30,1.14,82.00%,2.46%,29.55%,6.76B,3.84,-31.10%,1.05%,2.92,13.25%,5.35,42.28,10.90%,201.75,35.26%,-,-,1.75%,98.20%,115.38 - 230.71,11.61%,4.08,36.96,-0.30%,26.10%,-1.96%,1.51,1.80%,1.20,0.20%,42.20%,96.04%,4.71,23000,1.60,1.50%,13.00%,63.17,1.60% 2.02%,Yes,3.30,-60.60%,10.50%,0.44,225.99,Yes,3.17,Jul 28 BMO,65.10%,969.47K,226.19,2.90,4.70%,6.26%,18.34%,"431,176",0.09%,2020-07-25 16:25:46.619279
"Rollins, Inc.",Consumer Cyclical,Personal Services,USA,S&P 500,79.15,0.62,50.70%,327.68M,1.88%,15.70B,60.93,16.81%,-0.02%,141.82M,18.44%,201.50M,9.65,0.17,43.40%,7.74%,27.64%,2.07B,7.57,-13.10%,-0.23%,7.32,32.97%,2.44,19.95,11.50%,35.67,43.28%,0.29,169.50,8.20%,25.50%,30.72 - 49.55,46.80%,0.32,102.18,8.10%,18.90%,-1.76%,0.44,0.66%,0.70,7.40%,50.50%,58.46%,1.00,15000,0.70,13.70%,13.00%,72.87,1.70% 2.34%,Yes,0.40,-2.20%,9.80%,0.55,48.76,Yes,0.38,Jul 29 BMO,70.40%,1.50M,48.68,2.50,8.01%,13.49%,27.07%,"830,095",-0.16%,2020-07-25 16:25:46.619279
"Roper Technologies, Inc.",Industrials,Specialty Industrial Machinery,USA,S&P 500,26.64,15.59,0.30%,104.30M,1.52%,42.97B,31.47,8.45%,-6.75%,102.71M,7.32%,1.64B,4.84,2.67,96.40%,1.44%,35.53%,5.43B,7.91,88.80%,0.37%,2.50,10.20%,91.96,4.52,9.40%,382.10,11.94%,9.66,42.98,5.50%,18.20%,240.00 - 425.52,17.23%,2.05,33.22,21.30%,13.30%,-2.41%,1.06,0.49%,0.90,8.60%,64.00%,73.03%,8.25,16460,1.00,4.90%,42.40%,63.90,1.73% 1.88%,Yes,0.55,-35.40%,30.20%,0.72,420.28,Yes,0.49,Jul 28 BMO,12.10%,590.51K,415.27,2.30,4.21%,6.25%,16.39%,"424,551",-1.19%,2020-07-25 16:25:46.619279
"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,S&P 500,33.40,2.58,0.40%,352.20M,0.43%,30.23B,19.76,384.56%,0.00%,348.21M,-1.02%,933.90M,6.01,-0.30,92.00%,1.27%,0.78%,14.09B,2.15,8.00%,3.01%,1.34,-25.57%,8.00,10.77,9.70%,104.75,-18.35%,7.61,11.32,5.56%,29.30%,56.30 - 124.16,-25.99%,-,-,15.80%,44.70%,-30.61%,0.78,-,1.10,7.80%,23.90%,53.04%,3.12,92500,1.70,-51.50%,8.10%,46.70,3.23% 3.49%,Yes,1.10,-175.40%,6.60%,0.66,87.74,Yes,0.81,May 21 AMC,40.30%,3.28M,86.16,2.00,0.47%,-5.25%,-15.39%,"2,161,542",-1.80%,2020-07-25 16:25:46.619279
Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,USA,S&P 500,59.87,0.85,0.90%,209.10M,-4.35%,10.80B,-,79.20%,-0.83%,170.84M,5.37%,184.70M,-,-4.82,70.30%,15.59%,42.46%,10.54B,1.02,4.50%,0.36%,1.31,-59.82%,48.93,1.04,0.60%,65.87,-55.03%,18.31,2.78,-,1.60%,19.25 - 135.32,-61.93%,3.12,-,21.20%,9.10%,-62.44%,2.50,6.14%,0.50,6.30%,42.50%,164.05%,3.99,85300,0.50,-16.70%,4.30%,48.35,4.31% 7.29%,Yes,1.54,-680.70%,1.80%,0.35,50.45,Yes,1.18,May 20 BMO,350.00%,20.26M,50.83,2.40,0.39%,-2.70%,-37.53%,"6,993,562",0.75%,2020-07-25 16:25:46.619279
S&P Global Inc.,Financial,Financial Data & Stock Exchanges,USA,S&P 500,36.54,9.58,0.10%,242.10M,-1.33%,83.08B,31.70,7.70%,0.00%,240.42M,10.06%,2.35B,4.35,2.65,86.10%,1.17%,23.25%,6.91B,12.02,11.20%,0.19%,2.37,18.70%,-1.03,-,22.30%,350.00,44.41%,-,-,8.40%,865.50%,186.05 - 359.50,28.17%,2.68,33.54,58.40%,56.20%,-2.65%,1.05,0.77%,1.20,5.80%,72.90%,88.10%,7.90,22500,1.20,13.70%,48.00%,56.72,2.05% 2.27%,Yes,-,59.10%,34.00%,0.72,348.26,Yes,-,Jul 28 BMO,24.70%,1.19M,349.97,2.00,1.69%,6.25%,22.90%,"856,752",0.49%,2020-07-25 16:25:46.619279
"salesforce.com, inc.",Technology,Software - Application,USA,S&P 500,-,-0.17,0.20%,896.00M,0.38%,167.78B,52.62,20.97%,-52.25%,863.83M,1.58%,-161.00M,-,0.67,84.30%,-,22.41%,18.23B,9.21,-89.60%,0.05%,-,3.50%,38.58,4.89,-0.30%,200.14,18.29%,11.01,17.12,18.32%,-0.60%,115.29 - 202.82,15.89%,-,49.09,18.80%,-0.70%,-7.07%,1.06,-,1.10,26.00%,74.90%,63.49%,5.66,49000,1.10,30.20%,-0.30%,49.58,3.17% 2.91%,Yes,0.00,-78.10%,-0.90%,0.62,188.54,Yes,0.08,May 28 AMC,-,6.25M,188.49,1.80,-1.46%,2.96%,12.11%,"3,890,997",-0.03%,2020-07-25 16:25:46.619279
SBA Communications Corporation (REIT),Real Estate,REIT - Specialty,USA,S&P 500,-,-0.08,0.70%,111.91M,0.35%,32.66B,105.50,929.45%,-43.07%,110.36M,3.79%,-6.10M,-,0.30,96.70%,1.50%,-2.33%,2.04B,16.02,260.60%,0.04%,2.07,17.99%,-38.58,-,-0.10%,332.87,27.76%,-,-,48.78%,0.20%,205.20 - 323.02,23.94%,1.86,42.18,54.50%,8.10%,-7.54%,0.39,0.62%,0.40,5.70%,76.20%,45.56%,8.88,1475,0.40,4.80%,28.40%,50.15,2.35% 2.96%,Yes,-,-599.50%,-0.30%,0.65,298.68,Yes,-,Aug 03 AMC,-,799.19K,298.68,1.90,0.21%,0.38%,11.16%,"518,342",0.00%,2020-07-25 16:25:46.619279
Schlumberger Limited,Energy,Oil & Gas Equipment & Services,USA,S&P 500,-,-12.94,0.10%,1.39B,4.62%,27.32B,123.29,-24.40%,-4.84%,1.39B,9.07%,-17934.00M,-,-0.01,77.80%,1.62%,20.92%,32.49B,0.84,-576.90%,-0.03%,1.45,-45.54%,11.22,1.74,-30.70%,21.04,-51.24%,2.38,8.17,-,-72.40%,11.87 - 41.14,-51.54%,0.50,19.49,-29.90%,-24.50%,-52.65%,2.12,2.57%,0.90,-7.50%,12.70%,64.11%,0.90,105000,1.20,-5.40%,-57.00%,55.58,3.84% 4.51%,Yes,1.07,-,-55.20%,1.08,19.30,Yes,0.99,Jul 24 BMO,-,15.43M,19.48,2.30,6.31%,3.90%,-26.73%,"16,712,919",0.93%,2020-07-25 16:25:46.619279
Seagate Technology plc,Technology,Computer Hardware,Ireland,S&P 500,7.15,6.72,0.68%,261.00M,-0.48%,12.39B,9.47,0.30%,-8.45%,254.89M,0.88%,1.82B,0.78,1.29,88.10%,6.69%,-1.21%,10.36B,1.20,20.80%,0.05%,6.05,-24.02%,6.87,6.99,20.60%,54.50,-0.08%,6.25,7.68,9.13%,96.40%,39.02 - 64.17,-19.26%,2.60,26.19,9.30%,33.20%,-25.14%,1.04,5.41%,1.10,-5.40%,27.00%,23.12%,1.26,40500,1.50,17.50%,13.20%,45.63,2.45% 2.18%,Yes,2.29,77.20%,17.60%,1.45,50.00,Yes,2.28,Jul 28 AMC,37.90%,2.82M,48.04,2.70,0.23%,-3.91%,-9.78%,"4,080,756",-3.92%,2020-07-25 16:25:46.619279
Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,USA,S&P 500,19.46,1.91,0.70%,154.50M,1.11%,5.82B,13.15,6.46%,4.36%,154.44M,18.59%,296.10M,4.63,0.55,94.00%,3.13%,30.75%,4.85B,1.20,-34.10%,-0.14%,3.75,0.59%,-1.18,-,5.90%,36.27,-15.11%,1.76,21.21,4.20%,-129.60%,17.06 - 45.86,-6.48%,0.64,29.38,5.10%,11.90%,-18.77%,1.20,1.72%,0.70,-9.20%,32.80%,118.35%,0.97,16500,1.10,5.50%,12.50%,68.79,1.98% 2.87%,Yes,-,107.70%,6.80%,0.81,37.58,Yes,-,Aug 06 BMO,29.80%,1.29M,37.25,2.40,8.32%,13.93%,9.41%,"1,041,638",-0.88%,2020-07-25 16:25:46.619279
